State,City,Year,SO2,NO2,PM2_5,AQI,Lat,Long
Odisha,ROURKELA,1992,43.65555556,84.91111111,122.3744011,326,22.2,84.883333
Kerala,KOZHIKODE,1992,7.181818182,24.26363636,77.87461889,207,11.25,75.766667
Karnataka,BANGALORE,1992,10.82941432,25.8096229,40.79146704,108,12.983333,77.583333
Madhya Pradesh,KORBA,1992,25.06666667,13.43333333,81.58293408,217,22.35,82.683333
Maharashtra,NAGPUR,1992,66.62,98.54,228.4322154,609,23.3,82.3
Uttar Pradesh,AGRA,1992,16.11470716,19.55481145,40.79146704,108,27.187935,78.003944
Punjab,JALANDHAR,1992,89.59,164.09,110.136961,293,23.9,78.433333
Maharashtra,CHANDARPUR,1992,19.6,51.1,54.38862272,145,19.9615,79.2961
Himachal Pradesh,PAONTASAHIB,1992,18.37412148,16.47,81.58293408,217,30.4453,77.6021
Kerala,KOTTTAYAM,1992,4.433333333,19.8,40.79146704,108,9.5916,76.5222
Himachal Pradesh,PARWANOO,1992,20.76524552,44.25454545,81.58293408,217,30.8406,76.9584
Odisha,ANGUL,1992,18.15833333,7.05,40.79146704,108,20.8444,85.1511
Kerala,COCHIN,1992,26.24166667,56.84166667,169.964446,453,9.9312,76.2673
Gujarat,BARODA,1992,57.16666667,107.8333333,142.7701346,380,22.3072,73.1812
Delhi,DELHI,1992,138.5625,212.925,275.3424025,734,28.651952,77.231495
West Bengal,HOWRAH,1992,119.7794143,235.4929562,163.1658682,435,22.589167,88.310278
Punjab,LUDHIANA,1992,62.30833333,131.0666667,132.5722679,353,30.912042,75.853789
Rajasthan,KOTA,1992,64.88181818,318.4363636,189.1240745,504,25.182544,75.839065
Uttar Pradesh,VARANASI,1992,10.82941432,25.8096229,40.79146704,108,25.31774,83.005811
Haryana,FARIDABAD,1992,38.14166667,9.766666667,40.79146704,108,28.411236,77.313162
Gujarat,AHMEDABAD,1992,88.89166667,150.5333333,203.9573352,544,23.025793,72.587265
Maharashtra,PUNE,1992,44.2,91.9,81.58293408,217,18.513271,73.849852
Kerala,KOTTAYAM,1992,2.066666667,28.11666667,40.79146704,108,9.6,76.52
Gujarat,VAPI,1992,69.73882429,53.30288687,81.58293408,217,20.37,72.9
Madhya Pradesh,NAGDA,1992,78.8,74.76666667,122.3744011,326,23.46,75.42
West Bengal,CALCUTTA,1992,90.92,75.92,89.74122748,239,22.57,88.36
Bihar,JHARIA,1992,37.16,43.12,40.79146704,108,23.76,86.42
Haryana,YAMUNANAGAR,1992,25.38181818,4.936363636,40.79146704,108,30.14,77.28
Tamil Nadu,MADRAS,1992,33.51111111,37,131.4391716,350,13.09,80.27
Chandigarh,CHANDIGARH,1992,19.49294578,46.45732122,73.42464067,195,30.736292,76.788398
Himachal Pradesh,SHIMLA,1992,22.73235575,20.39,81.58293408,217,31.104423,77.166623
Bihar,DHANBAD,1992,67.13333333,80.53333333,81.58293408,217,23.801988,86.443244
Madhya Pradesh,INDORE,1992,30.68170162,51.22863749,117.8420159,314,22.717736,75.85859
Andhra Pradesh,HYDERABAD,1992,53.35833333,119.8916667,169.964446,453,17.384052,78.456355
Madhya Pradesh,BHOPAL,1992,33.8679156,53.09440833,129.7910315,346,23.254688,77.402892
Rajasthan,JAIPUR,1992,22.26,79.54,122.3744011,326,26.913312,75.787872
Bihar,PATNA,1992,27.4125,40.7875,56.08826718,149,25.615379,85.101027
Madhya Pradesh,BHILAI,1992,45.59346831,63.32863749,113.3096307,302,21.209188,81.428497
Madhya Pradesh,JABALPUR,1992,9.844444444,126.3222222,81.58293408,217,23.174495,79.935903
Rajasthan,ALWAR,1992,42,138.0875,81.58293408,217,27.566291,76.610202
Karnataka,MYSORE,1993,48.08333333,57.2,81.58293408,217,12.292664,76.638543
West Bengal,HALDIA,1993,42.6625,75.925,81.58293408,217,22.025278,88.058333
Odisha,ANGUL,1993,19.72352988,10.22902235,40.79146704,108,20.8444,85.1511
Gujarat,ANKLESHWAR,1993,62.56666667,40.33333333,81.58293408,217,21.6264,73.0152
Gujarat,SURAT,1993,159.16,104.88,122.3744011,326,21.195944,72.830232
